epoch,step,train_loss,eval_loss,train_accuracy,eval_accuracy
0.010121457489878543,10,0.6894436359405518,,,
0.020242914979757085,20,0.6712003231048584,,,
0.030364372469635626,30,0.5939529418945313,,,
0.04048582995951417,40,0.40183701515197756,,,
0.05060728744939271,50,0.29766294956207273,,,
0.06072874493927125,60,0.11101269721984863,,,
0.0708502024291498,70,0.2637502431869507,,,
0.08097165991902834,80,0.21559243202209472,,,
0.09109311740890688,90,0.18590455055236815,,,
0.10121457489878542,100,0.010090985149145127,,,
0.11133603238866396,110,0.047824740409851074,,,
0.1214574898785425,120,0.13193461894989014,,,
0.13157894736842105,130,0.13724052906036377,,,
0.1417004048582996,140,0.11705399751663208,,,
0.15182186234817813,150,0.0638964056968689,,,
0.16194331983805668,160,0.17340893745422364,,,
0.1720647773279352,170,0.16355020999908448,,,
0.18218623481781376,180,0.07243497967720032,,,
0.19230769230769232,190,0.13926087617874144,,,
0.20242914979757085,200,0.004112399742007255,,,
0.2125506072874494,210,0.1878765344619751,,,
0.22267206477732793,220,0.051342010498046875,,,
0.23279352226720648,230,0.26515846252441405,,,
0.242914979757085,240,0.07947174310684205,,,
0.25303643724696356,250,0.008443088084459306,,,
0.2631578947368421,260,0.07206832766532897,,,
0.2732793522267207,270,0.1468143105506897,,,
0.2834008097165992,280,0.11346473693847656,,,
0.2935222672064777,290,0.09830023646354676,,,
0.30364372469635625,300,0.232025671005249,,,
0.31376518218623484,310,0.1359074354171753,,,
0.32388663967611336,320,0.08189118504524232,,,
0.3340080971659919,330,0.02456456273794174,,,
0.3441295546558704,340,0.11201573610305786,,,
0.354251012145749,350,0.029030397534370422,,,
0.3643724696356275,360,0.10485731363296509,,,
0.37449392712550605,370,0.004567468538880348,,,
0.38461538461538464,380,0.1384427070617676,,,
0.39473684210526316,390,0.17726703882217407,,,
0.4048582995951417,400,0.0023954423144459725,,,
0.4149797570850202,410,0.012358657270669936,,,
0.4251012145748988,420,0.08589346408843994,,,
0.4352226720647773,430,0.1313526749610901,,,
0.44534412955465585,440,0.04823007583618164,,,
0.45546558704453444,450,0.12205111980438232,,,
0.46558704453441296,460,0.1101938009262085,,,
0.4757085020242915,470,0.0838958740234375,,,
0.48582995951417,480,0.12220542430877686,,,
0.4959514170040486,490,0.05658784508705139,,,
0.5060728744939271,500,0.11594846248626708,,,
0.5161943319838057,510,0.001939791813492775,,,
0.5263157894736842,520,0.08915121555328369,,,
0.5364372469635628,530,0.003308234363794327,,,
0.5465587044534413,540,0.14838128089904784,,,
0.5566801619433198,550,0.13008161783218383,,,
0.5668016194331984,560,0.004825783520936966,,,
0.5769230769230769,570,0.06328045725822448,,,
0.5870445344129555,580,0.15806628465652467,,,
0.597165991902834,590,0.08590666651725769,,,
0.6072874493927125,600,0.060609292984008786,,,
0.6174089068825911,610,0.08242698311805725,,,
0.6275303643724697,620,0.08905030488967895,,,
0.6376518218623481,630,0.06903264522552491,,,
0.6477732793522267,640,0.0281342089176178,,,
0.6578947368421053,650,0.0016967842355370521,,,
0.6680161943319838,660,0.018385116755962373,,,
0.6781376518218624,670,0.10364155769348145,,,
0.6882591093117408,680,0.11230977773666381,,,
0.6983805668016194,690,0.06430726051330567,,,
0.708502024291498,700,0.022409184277057646,,,
0.7186234817813765,710,0.12891364097595215,,,
0.728744939271255,720,0.0027885986492037773,,,
0.7388663967611336,730,0.11706584692001343,,,
0.7489878542510121,740,0.0012543904595077038,,,
0.7591093117408907,750,0.06978155970573426,,,
0.7692307692307693,760,0.0029031239449977876,,,
0.7793522267206477,770,0.08638938665390014,,,
0.7894736842105263,780,0.0015202324837446212,,,
0.7995951417004049,790,0.01882575750350952,,,
0.8097165991902834,800,0.008380003273487091,,,
0.819838056680162,810,0.003332347795367241,,,
0.8299595141700404,820,0.0008235601708292961,,,
0.840080971659919,830,0.005147334188222885,,,
0.8502024291497976,840,0.033526879549026486,,,
0.8603238866396761,850,0.07092336416244507,,,
0.8704453441295547,860,0.09003493189811707,,,
0.8805668016194332,870,0.05096109509468079,,,
0.8906882591093117,880,0.0009113386273384094,,,
0.9008097165991903,890,0.0009576099924743176,,,
0.9109311740890689,900,0.03028934895992279,,,
0.9210526315789473,910,0.0022185411304235458,,,
0.9311740890688259,920,0.0005699314642697573,,,
0.9412955465587044,930,0.0006004431284964085,,,
0.951417004048583,940,0.14518510103225707,,,
0.9615384615384616,950,0.0018319368362426757,,,
0.97165991902834,960,0.0016345158219337463,,,
0.9817813765182186,970,0.0006400954443961382,,,
0.9919028340080972,980,0.06273089647293091,,,
1.0,988,,0.05632731318473816,,0.9898734177215189
1.0020242914979758,990,0.00043745087459683417,,,
1.0121457489878543,1000,0.1802268385887146,,,
1.0222672064777327,1010,0.08748868703842164,,,
1.0323886639676114,1020,0.0018140463158488273,,,
1.04251012145749,1030,0.0020383745431900024,,,
1.0526315789473684,1040,0.0007078136317431927,,,
1.062753036437247,1050,0.0004714451264590025,,,
1.0728744939271255,1060,0.04742543399333954,,,
1.082995951417004,1070,0.0006288166623562574,,,
1.0931174089068827,1080,0.0004886058159172535,,,
1.1032388663967612,1090,0.0009498578496277332,,,
1.1133603238866396,1100,0.0006799427792429924,,,
1.123481781376518,1110,0.0005153084173798561,,,
1.1336032388663968,1120,0.00034169962164014577,,,
1.1437246963562753,1130,0.05473173856735229,,,
1.1538461538461537,1140,0.03693111538887024,,,
1.1639676113360324,1150,0.00042425282299518585,,,
1.174089068825911,1160,0.000516579020768404,,,
1.1842105263157894,1170,0.0004631000105291605,,,
1.194331983805668,1180,0.00037098405882716177,,,
1.2044534412955465,1190,0.08416113257408142,,,
1.214574898785425,1200,0.03648751974105835,,,
1.2246963562753037,1210,0.00047278795391321183,,,
1.2348178137651822,1220,0.0005611496046185494,,,
1.2449392712550607,1230,0.00034712469205260276,,,
1.2550607287449393,1240,0.0003309768857434392,,,
1.2651821862348178,1250,0.0038261879235506058,,,
1.2753036437246963,1260,0.00029033906757831575,,,
1.285425101214575,1270,0.00039683808572590353,,,
1.2955465587044535,1280,0.0004284996073693037,,,
1.305668016194332,1290,0.1544991612434387,,,
1.3157894736842106,1300,0.09471088647842407,,,
1.325910931174089,1310,0.0464072585105896,,,
1.3360323886639676,1320,0.0003726585768163204,,,
1.3461538461538463,1330,0.002860840782523155,,,
1.3562753036437247,1340,0.00037968100514262915,,,
1.3663967611336032,1350,0.0014192760922014714,,,
1.376518218623482,1360,0.00034329909831285475,,,
1.3866396761133604,1370,0.005884195864200592,,,
1.3967611336032388,1380,0.0005050054285675287,,,
1.4068825910931175,1390,0.0011660768650472164,,,
1.417004048582996,1400,0.0003150183940306306,,,
1.4271255060728745,1410,0.07688080072402954,,,
1.4372469635627532,1420,0.00033335217740386723,,,
1.4473684210526316,1430,0.00035273851826786993,,,
1.45748987854251,1440,0.0003674175590276718,,,
1.4676113360323888,1450,0.00036700605414807796,,,
1.4777327935222673,1460,0.0003335928777232766,,,
1.4878542510121457,1470,0.0002763617318123579,,,
1.4979757085020242,1480,0.00030063302256166935,,,
1.5080971659919027,1490,0.00032258753199130295,,,
1.5182186234817814,1500,0.000280623696744442,,,
1.52834008097166,1510,0.08254808187484741,,,
1.5384615384615383,1520,0.00035825327504426243,,,
1.548582995951417,1530,0.00041066608391702173,,,
1.5587044534412957,1540,0.1192124605178833,,,
1.568825910931174,1550,0.10348323583602906,,,
1.5789473684210527,1560,0.0005200785584747791,,,
1.5890688259109311,1570,0.0003474108874797821,,,
1.5991902834008096,1580,0.0004915344994515181,,,
